year,city,avg_temp
1971,Jacksonville,21.54
1972,Jacksonville,21.71
1973,Jacksonville,21.44
1974,Jacksonville,21.70
1975,Jacksonville,21.88
1976,Jacksonville,20.59
1977,Jacksonville,20.87
1978,Jacksonville,20.99
1979,Jacksonville,21.10
1980,Jacksonville,21.08
1981,Jacksonville,20.73
1982,Jacksonville,22.05
1983,Jacksonville,20.73
1984,Jacksonville,21.16
1985,Jacksonville,21.70
1986,Jacksonville,22.05
1987,Jacksonville,21.10
1988,Jacksonville,20.81
1989,Jacksonville,21.64
1990,Jacksonville,22.57
1991,Jacksonville,22.09
1992,Jacksonville,21.25
1993,Jacksonville,21.27
1994,Jacksonville,21.99
1995,Jacksonville,21.60
1996,Jacksonville,21.07
1997,Jacksonville,21.76
1998,Jacksonville,22.65
1999,Jacksonville,21.85
2000,Jacksonville,21.31
2001,Jacksonville,21.75
2002,Jacksonville,21.96
2003,Jacksonville,21.65
2004,Jacksonville,21.68
2005,Jacksonville,21.57
2006,Jacksonville,22.01
2007,Jacksonville,22.21
2008,Jacksonville,21.67
2009,Jacksonville,21.94
2010,Jacksonville,20.81
2011,Jacksonville,22.12
2012,Jacksonville,22.23
2013,Jacksonville,22.49
