year,city,avg_temp
1833,Miami,23.08
1834,Miami,23.60
1835,Miami,22.67
1836,Miami,22.55
1837,Miami,22.85
1838,Miami,22.46
1839,Miami,22.90
1840,Miami,22.89
1841,Miami,22.40
1842,Miami,22.91
1843,Miami,22.28
1844,Miami,22.27
1845,Miami,22.14
1846,Miami,22.75
1847,Miami,22.71
1848,Miami,22.98
1849,Miami,23.54
1850,Miami,23.36
1851,Miami,22.81
1852,Miami,22.57
1853,Miami,22.87
1854,Miami,22.78
1855,Miami,22.69
1856,Miami,22.78
1857,Miami,22.33
1858,Miami,22.60
1859,Miami,23.01
1860,Miami,22.80
1861,Miami,23.26
1862,Miami,23.36
1863,Miami,22.94
1864,Miami,22.39
1865,Miami,23.15
1866,Miami,23.04
1867,Miami,23.08
1868,Miami,22.75
1869,Miami,23.22
1870,Miami,22.95
1871,Miami,22.99
1872,Miami,22.56
1873,Miami,22.52
1874,Miami,23.00
1875,Miami,23.08
1876,Miami,22.77
1877,Miami,22.91
1878,Miami,22.88
1879,Miami,22.85
1880,Miami,23.44
1881,Miami,23.14
1882,Miami,23.36
1883,Miami,23.53
1884,Miami,23.09
1885,Miami,22.41
1886,Miami,22.08
1887,Miami,22.65
1888,Miami,22.78
1889,Miami,22.53
1890,Miami,23.11
1891,Miami,22.73
1892,Miami,22.45
1893,Miami,22.87
1894,Miami,22.84
1895,Miami,22.47
1896,Miami,22.84
1897,Miami,23.21
1898,Miami,22.92
1899,Miami,23.11
1900,Miami,22.93
1901,Miami,21.94
1902,Miami,22.85
1903,Miami,22.64
1904,Miami,22.62
1905,Miami,23.12
1906,Miami,22.69
1907,Miami,23.19
1908,Miami,23.12
1909,Miami,23.09
1910,Miami,21.99
1911,Miami,23.69
1912,Miami,23.61
1913,Miami,23.29
1914,Miami,22.80
1915,Miami,22.66
1916,Miami,23.02
1917,Miami,22.59
1918,Miami,23.06
1919,Miami,23.17
1920,Miami,22.63
1921,Miami,23.40
1922,Miami,23.54
1923,Miami,23.18
1924,Miami,23.09
1925,Miami,23.31
1926,Miami,23.06
1927,Miami,23.39
1928,Miami,22.90
1929,Miami,23.73
1930,Miami,22.91
1931,Miami,22.81
1932,Miami,23.55
1933,Miami,23.47
1934,Miami,23.04
1935,Miami,22.83
1936,Miami,23.22
1937,Miami,23.17
1938,Miami,23.20
1939,Miami,23.47
1940,Miami,22.38
1941,Miami,23.18
1942,Miami,22.97
1943,Miami,22.88
1944,Miami,23.28
1945,Miami,23.49
1946,Miami,23.94
1947,Miami,23.54
1948,Miami,24.25
1949,Miami,23.84
1950,Miami,23.19
1951,Miami,23.17
1952,Miami,23.34
1953,Miami,23.63
1954,Miami,22.96
1955,Miami,23.06
1956,Miami,22.89
1957,Miami,23.65
1958,Miami,22.85
1959,Miami,23.62
1960,Miami,22.93
1961,Miami,23.28
1962,Miami,23.00
1963,Miami,22.88
1964,Miami,23.47
1965,Miami,23.41
1966,Miami,22.80
1967,Miami,23.40
1968,Miami,22.51
1969,Miami,22.75
1970,Miami,22.77
1971,Miami,23.36
1972,Miami,23.79
1973,Miami,23.31
1974,Miami,23.60
1975,Miami,24.04
1976,Miami,23.00
1977,Miami,22.98
1978,Miami,23.28
1979,Miami,23.49
1980,Miami,23.37
1981,Miami,22.95
1982,Miami,24.14
1983,Miami,23.20
1984,Miami,23.26
1985,Miami,23.42
1986,Miami,23.83
1987,Miami,23.32
1988,Miami,23.25
1989,Miami,23.77
1990,Miami,24.33
1991,Miami,24.11
1992,Miami,23.36
1993,Miami,23.49
1994,Miami,24.16
1995,Miami,23.60
1996,Miami,23.21
1997,Miami,24.00
1998,Miami,24.28
1999,Miami,23.66
2000,Miami,23.50
2001,Miami,23.70
2002,Miami,24.11
2003,Miami,24.00
2004,Miami,23.69
2005,Miami,23.64
2006,Miami,23.77
2007,Miami,24.12
2008,Miami,23.78
2009,Miami,23.90
2010,Miami,22.75
2011,Miami,24.23
2012,Miami,23.92
2013,Miami,24.44
1743,Minneapolis,-2.53
1744,Minneapolis,8.07
1745,Minneapolis,-5.84
1746,Minneapolis,
1747,Minneapolis,
1748,Minneapolis,
1749,Minneapolis,
1750,Minneapolis,5.65
1751,Minneapolis,6.44
1752,Minneapolis,-2.72
1753,Minneapolis,4.94
1754,Minneapolis,4.69
1755,Minneapolis,1.80
1756,Minneapolis,5.11
1757,Minneapolis,4.38
1758,Minneapolis,3.49
1759,Minneapolis,4.50
1760,Minneapolis,2.47
1761,Minneapolis,5.27
1762,Minneapolis,5.20
1763,Minneapolis,2.26
1764,Minneapolis,4.55
1765,Minneapolis,4.15
1766,Minneapolis,5.34
1767,Minneapolis,3.80
1768,Minneapolis,3.80
1769,Minneapolis,4.75
1770,Minneapolis,4.61
1771,Minneapolis,5.18
1772,Minneapolis,5.20
1773,Minneapolis,5.25
1774,Minneapolis,4.56
1775,Minneapolis,5.99
1776,Minneapolis,4.80
1777,Minneapolis,4.73
1778,Minneapolis,1.80
1779,Minneapolis,5.09
1780,Minneapolis,8.71
1781,Minneapolis,5.02
1782,Minneapolis,4.58
1783,Minneapolis,4.38
1784,Minneapolis,4.48
1785,Minneapolis,4.17
1786,Minneapolis,4.74
1787,Minneapolis,4.79
1788,Minneapolis,5.16
1789,Minneapolis,4.95
1790,Minneapolis,4.83
1791,Minneapolis,5.10
1792,Minneapolis,4.65
1793,Minneapolis,5.01
1794,Minneapolis,5.17
1795,Minneapolis,5.01
1796,Minneapolis,5.02
1797,Minneapolis,4.63
1798,Minneapolis,5.34
1799,Minneapolis,5.11
1800,Minneapolis,5.06
1801,Minneapolis,5.39
1802,Minneapolis,5.52
1803,Minneapolis,5.30
1804,Minneapolis,5.37
1805,Minneapolis,5.39
1806,Minneapolis,5.05
1807,Minneapolis,4.84
1808,Minneapolis,4.63
1809,Minneapolis,3.79
1810,Minneapolis,3.86
1811,Minneapolis,4.04
1812,Minneapolis,3.17
1813,Minneapolis,4.70
1814,Minneapolis,4.64
1815,Minneapolis,3.75
1816,Minneapolis,3.02
1817,Minneapolis,3.51
1818,Minneapolis,4.71
1819,Minneapolis,3.87
1820,Minneapolis,3.49
1821,Minneapolis,4.07
1822,Minneapolis,4.38
1823,Minneapolis,4.01
1824,Minneapolis,4.21
1825,Minneapolis,5.80
1826,Minneapolis,4.68
1827,Minneapolis,5.49
1828,Minneapolis,5.34
1829,Minneapolis,4.78
1830,Minneapolis,6.14
1831,Minneapolis,3.83
1832,Minneapolis,5.11
1833,Minneapolis,5.91
1834,Minneapolis,5.89
1835,Minneapolis,3.91
1836,Minneapolis,3.78
1837,Minneapolis,4.38
1838,Minneapolis,3.33
